Number of Rows (Aggregated),avg_age,CODED_PARTY_AFFILIATION,age_stddev,STATE_SENATE_DISTRICT,Score,General,Primary,Special
3805,50.213929041,-0.081997372,18.512875715,22,0.176006121,0.319589127,0.074407659,0.050335570
2213,48.333032083,-0.185268866,18.551057974,12,0.172632917,0.314665140,0.073723483,0.039892539
6550,48.056183206,-0.003206107,17.824860631,27,0.149490684,0.281121669,0.052446055,0.021550278
10639,49.158379547,0.056114296,18.215047140,24,0.150912858,0.276240814,0.061981992,0.007970223
6213,39.446483180,0.179301465,17.551219570,21,0.117388305,0.214305282,0.040568159,0.002603353
2737,48.386189258,-0.009864815,19.506116880,30,0.186978447,0.332742923,0.083382149,0.041794740
2930,45.936518771,-0.027986348,18.392835904,5,0.152696411,0.281977379,0.061691426,0.027197347
332,,0,,,,,,
6319,46.250356069,-0.007754392,18.026140566,8,0.134778645,0.259209120,0.043391093,0.009512177
3160,50.666139241,0.044936709,19.177143401,33,0.190854682,0.340527774,0.091573785,0.017690300
9442,44.235013768,0.043317094,16.631324156,3,0.103449069,0.195311152,0.032805378,0.013972356
12268,44.994783176,0.051434627,16.469861921,19,0.122795819,0.231221362,0.039478833,0.011748937
13414,45.623825854,0.072387058,17.147071328,16,0.129175350,0.247487307,0.038697945,0.013486333
10118,45.871614944,0.050504052,16.348405414,7,0.137499050,0.250574937,0.045643718,0.014791612
4600,47.665,-0.038913043,18.428961090,10,0.154385647,0.278146851,0.066139316,0.042432460
2642,47.410673732,-0.085541257,17.770140527,14,0.151061345,0.283444647,0.056786361,0.015470085
3310,49.279154079,-0.040483384,19.169489944,29,0.182333235,0.329453657,0.076165853,0.051240120
3350,44.337313433,0.097611940,18.242001776,11,0.136746371,0.258976959,0.049531174,0.026948203
5985,45.002673350,0.101587302,18.063381602,28,0.106347511,0.201156425,0.040078760,0.026355360
6237,47.676767677,-0.016193683,18.199602286,6,0.141406834,0.264771543,0.050628020,0.019866462
7995,38.277423390,0.151844903,16.287949759,15,0.102839018,0.193927445,0.032432311,0.009582520
4680,48.973931624,-0.025213675,18.868601218,18,0.181347577,0.327270876,0.075133957,0.057381362
2687,51.653516933,0.026795683,18.961971822,32,0.199431374,0.354108926,0.097472873,0.062539607
2242,48.896520963,-0.134255129,18.605344782,17,0.170224406,0.319097381,0.065606402,0.033684739
4748,47.962931761,-0.010530750,18.440079836,2,0.157060289,0.295353481,0.058767308,0.019610650
4128,45.301598837,-0.045542636,17.685371217,31,0.126745889,0.230120284,0.049663559,0.023985982
3656,46.672866521,-0.074945295,17.917936877,20,0.155071689,0.283037987,0.061662336,0.042645944
5200,47.990769231,0.123461538,18.807462091,25,0.144727255,0.270498176,0.055638880,0.012857267
5422,40.916820361,0.156399852,17.107867069,9,0.124104207,0.240834249,0.040729850,0.019615629
8036,45.605525137,-0.014683922,17.229977475,4,0.107587325,0.210154397,0.031504475,0.026676393
4062,47.532003939,0.041605121,18.906393006,13,0.169843803,0.302801471,0.072288768,0.055574536
2360,49.260169492,-0.175,18.651602128,1,0.187808688,0.334977204,0.085887615,0.038591549
3701,47.476898136,-0.080518779,17.150472965,26,0.165603166,0.301866067,0.064186310,0.032176491
5690,46.379613357,0.095782074,18.204556494,23,0.127916785,0.231929885,0.057855814,0.016896408
