Number of Rows (Aggregated),avg_age,CODED_PARTY_AFFILIATION,age_stddev,STATE_REPRESENTATIVE_DISTRICT,Score,General,Primary,Special
1122,43.296791444,-0.030303030,18.075818329,53,0.145564936,0.266210026,0.048310815,0.028502747
2707,44.313261914,0.160325083,18.047448691,34,0.086505186,0.165764014,0.031955680,0.013912076
900,48.611111111,-0.187777778,18.790037384,97,0.192482199,0.353289496,0.078954865,0.015460030
1338,43.977578475,0.152466368,20.165124766,56,0.182753069,0.303975671,0.079291704,0.084177215
4150,43.798554217,0.126506024,16.943824155,22,0.090100979,0.173863474,0.030521099,0.010699216
863,47.983777520,-0.017381228,19.021351200,79,0.172698122,0.311606710,0.074365176,0.097943723
1859,48.149542765,0.165680473,18.622393939,12,0.134358687,0.254394266,0.051189322,0.001603706
2948,46.929443691,0.044436906,17.620989238,27,0.159005349,0.298840876,0.054314185,0.010161663
728,47.833791209,0.063186813,18.836839755,49,0.157545701,0.293634629,0.067722157,0.029773463
1140,40.6,0.158771930,17.658292006,44,0.116337579,0.215100808,0.041217100,0.024022801
824,49.476941748,-0.089805825,18.240380940,92,0.182840373,0.336108391,0.071695995,0.056650894
3969,46.714537667,0.084404132,17.667655795,24,0.137504831,0.262473444,0.044442038,0.012866394
767,46.873533246,-0.148631030,17.973462187,74,0.176740858,0.317979808,0.077086006,0.062040441
6579,45.851041192,0.077519380,17.105631174,21,0.134463108,0.258746748,0.037505872,0.011753472
1347,47.711952487,-0.077208612,18.893779835,30,0.161338266,0.313850192,0.053459265,0.012176166
789,48.564005070,-0.121673004,18.491046597,88,0.202414183,0.353346630,0.095398662,0.075757576
2149,48.434620754,-0.007910656,18.065678647,47,0.144811748,0.278454118,0.047262776,0.008338449
636,52.498427673,-0.202830189,18.925340194,5,0.193956291,0.356001487,0.084443375,0.021359223
1612,49.542803970,-0.076923077,18.226488159,69,0.181800595,0.325944357,0.072606830,0.061577004
332,,0,,,,,,
1844,46.968004338,0.159436009,18.837528380,8,0.136504154,0.251083314,0.051275494,0.002454683
1557,49.865767502,-0.105330764,18.780886222,76,0.200237692,0.355419225,0.085948210,0.057021217
1497,49.053440214,0.026720107,18.946020365,60,0.167745149,0.314433452,0.066515736,0.039489489
1469,43.929884275,0.162695711,17.582305054,33,0.143529675,0.272928833,0.050064538,0.019327309
2769,47.506681112,-0.026363308,17.961605310,42,0.143243463,0.266123097,0.050025552,0.015533268
1679,45.764740917,0.013103038,18.447523626,3,0.151698594,0.282215371,0.057955545,0.023103749
873,50.453608247,0.065292096,18.941071434,64,0.180811559,0.326449061,0.083769527,0.063373253
856,41.969626168,0.171728972,17.428390171,39,0.129700056,0.245526616,0.044597468,0.019417476
1406,49.175675676,0.010668563,18.135190386,55,0.159618057,0.292591902,0.069448327,0.056139549
1253,48.279329609,-0.179569034,18.146594982,80,0.161987727,0.296818860,0.072209219,0.026798433
3776,45.222987288,0.055879237,16.766366875,19,0.140499564,0.262605756,0.045719784,0.022194001
927,48.603020496,0.160733549,19.203803831,58,0.180532907,0.316957944,0.093038785,0.032310379
2894,49.548721493,0.062197650,18.652744129,16,0.157208899,0.292784247,0.062249569,0.010661543
1804,44.545454545,-0.028824834,17.584299341,51,0.085382110,0.171706922,0.025356570,0.014647664
2148,45.764897579,-0.020484171,15.777420638,86,0.134761390,0.254717880,0.038818743,0.008605341
5591,45.738508317,0.021284207,15.841645367,67,0.135198081,0.253982229,0.041418270,0.009662658
2902,49.199862164,0.051343901,18.319242618,7,0.149929781,0.273860275,0.066625606,0.006063988
959,43.499478624,0.113660063,18.860761915,94,0.166937372,0.296593594,0.070437084,0.032743114
711,47.964838256,-0.185654008,17.473445485,85,0.171740711,0.304513916,0.074585249,0.029914530
2585,36.446034816,0.121856867,17.372074690,10,0.095835646,0.178413864,0.023852267,0.003051643
990,52.072727273,0.107070707,18.873930203,63,0.204237025,0.358539682,0.103926596,0.073131443
824,52.421116505,-0.110436893,19.051087950,99,0.213401609,0.378119392,0.104284369,0.049242424
920,46.181521739,-0.108695652,17.650909586,72,0.140963066,0.252727678,0.058367023,0.026204670
2265,47.339072848,0.068432671,18.388398844,14,0.120264882,0.224783122,0.051221086,0.016687205
2100,46.046666667,0.047619048,18.022158648,36,0.127796258,0.241391269,0.048235082,0.025000000
563,47.776198934,-0.122557726,18.360360804,90,0.157081552,0.293173835,0.060454221,0.016544118
1726,48.050405562,-0.004055620,18.811538468,41,0.153202489,0.285802251,0.059555620,0.0204
1491,44.824949698,-0.075788062,17.310262151,29,0.120106056,0.237369073,0.041665482,0.007112835
1662,47.400722022,-0.048134777,16.949887522,62,0.148468726,0.272462449,0.057595380,0.041019669
1009,42.760158573,0.147670961,18.130587764,11,0.112749584,0.216627739,0.042529676,0.001623377
3481,46.295317438,0.048261994,17.940742287,28,0.130781951,0.247400996,0.040219766,0.009473474
610,50.555737705,-0.259016393,19.016223517,84,0.204532744,0.379897037,0.084774735,0.059957173
890,51.066292135,-0.120224719,19.184413456,95,0.202242360,0.363771449,0.083207701,0.021258503
4843,48.900268429,0.055337601,17.884184005,6,0.147740984,0.267785128,0.059025754,0.007525746
1742,47.576923077,-0.012055109,17.962581445,40,0.126806317,0.241797365,0.042727086,0.026295133
679,48.938144330,-0.134020619,18.948361829,91,0.168759990,0.317580003,0.067317740,0.030938124
959,49.714285714,-0.119916580,19.232988424,50,0.197124138,0.356926884,0.083542644,0.062039595
3703,47.321361059,0.031596003,17.460533411,37,0.136032925,0.257372620,0.044648270,0.018086244
1644,48.154501217,0.062043796,18.445074931,15,0.151992716,0.262381024,0.078538288,0.030813476
3625,32.104827586,0.151448276,13.188334424,18,0.119317845,0.222006495,0.034900097,0.013590844
2970,47.776767677,-0.016835017,18.370856782,73,0.143283857,0.258124028,0.060901504,0.021653543
614,49.550488599,-0.123778502,18.748352178,98,0.208198371,0.377824140,0.088951679,0.05
1915,49.386945170,-0.019321149,17.741854263,38,0.163314553,0.307030210,0.058890277,0.020679220
1306,46.732771822,-0.037519142,17.636164025,65,0.141967728,0.264947686,0.052558855,0.016544758
821,46.496954933,-0.004872107,19.072302814,43,0.162516109,0.297368011,0.063431923,0.035032797
1653,40.303085299,0.139745917,15.834211327,32,0.107708032,0.214912046,0.032862213,0.011559696
773,48.289780078,-0.139715395,17.534019091,66,0.162040500,0.307609585,0.061251501,0.012962963
764,51.167539267,-0.206806283,18.699547411,87,0.214226896,0.381141171,0.102772933,0.056065665
2006,44.752243270,-0.008973081,17.255594559,77,0.125456479,0.227978376,0.046501931,0.045514197
1552,43.338917526,0.043814433,16.965123883,17,0.088005703,0.171972576,0.027027265,0.007959714
1597,51.134001252,0.076393237,19.168153866,59,0.195606368,0.348041772,0.093553129,0.008313221
672,51.688988095,-0.208333333,19.185423495,81,0.216658615,0.385822905,0.101389170,0.047413793
5508,44.844045025,0.083514887,15.356835658,54,0.122676652,0.218134406,0.037344072,0.009147066
920,50.872826087,-0.059782609,18.825414046,89,0.195397296,0.358717484,0.087017939,0.039632729
989,50.128412538,-0.064711830,19.465756594,2,0.155474547,0.293715563,0.064668852,0.035762032
2300,39.433478261,0.164347826,17.444210733,31,0.123506443,0.239007614,0.040456020,0.026419337
4114,43.666261546,0.031599417,16.335370875,20,0.075273824,0.142360496,0.023199838,0.008234748
1686,50.368327402,-0.034994069,18.573429039,61,0.181136228,0.331264381,0.071139062,0.048169192
1437,46.371607516,0.073068894,19.056351736,75,0.161126899,0.292084327,0.068162317,0.070360825
2556,42.806338028,0.170970266,16.371914490,25,0.082371082,0.157491610,0.028417571,0.005293318
2619,41.131347843,0.248186331,17.045089357,9,0.140457673,0.248848677,0.056258272,0.002686404
2527,45.313810843,-0.005144440,16.932287344,68,0.149050892,0.275062232,0.050086389,0.018312534
806,45.843672457,0.083126551,17.533793555,45,0.149611618,0.279057373,0.060292466,0.037918871
892,47.106502242,-0.134529148,18.944863063,4,0.151528177,0.278135894,0.065484130,0.033676704
1404,46.507122507,0.056267806,18.639486455,46,0.145924008,0.283061151,0.050094089,0.022349272
1781,43.521055587,0.161706906,17.401963928,13,0.115419918,0.212906078,0.047211375,0.002463768
1318,49.386949924,-0.037936267,17.871188801,57,0.167647140,0.312500691,0.068288707,0.033317354
888,50.977477477,-0.032657658,19.514500421,96,0.193330767,0.340693113,0.097526502,0.070703318
5110,46.486692759,-0.006262231,16.844542652,52,0.107074343,0.211397932,0.030011864,0.030291178
932,48.241416309,-0.108369099,19.229427227,1,0.174513608,0.322171864,0.070120518,0.037845168
739,48.211096076,-0.184032476,18.692529594,93,0.157519938,0.301546961,0.057252164,0.008571429
2594,43.983808790,-0.004626060,17.262758267,71,0.102429232,0.187149443,0.037290813,0.016288952
716,49.438547486,-0.132681564,19.021309217,82,0.192737195,0.347656092,0.086641526,0.027624309
1623,49.670363524,-0.040049291,19.259962184,48,0.184716474,0.329286636,0.075607004,0.053921569
1814,44.230981257,0.125689085,17.429650876,26,0.098744318,0.189148120,0.033175493,0.011796982
750,49.484,-0.116,17.987286268,78,0.189231943,0.345708634,0.081520925,0.066897347
2866,43.591765527,0.043963712,16.324441420,23,0.105514113,0.200912095,0.033476967,0.018655448
972,47.449588477,-0.183127572,17.804422374,83,0.164277486,0.290576470,0.074640701,0.040492958
1204,51.182724252,-0.102990033,18.058687938,70,0.185113293,0.332333583,0.084865529,0.046918044
1178,44.725806452,0.062818336,18.102522050,35,0.113745902,0.210833329,0.044268352,0.057504252
